time,throughput_mbps,sinr_db,is_blocked
21.4,38.6906,10.1435,1
21.5,40.4282,9.44053,1
21.6,40.544,9.02893,1
21.7,40.3123,8.72071,1
21.8,40.6598,8.5069,1
21.9,40.4282,8.98931,1
22,40.544,9.30067,1
22.1,40.3123,8.60389,1
22.2,40.544,8.47785,1
22.3,40.544,8.76773,1
22.4,40.544,8.76493,1
22.5,13.9008,7.43654,1
22.6,37.8797,7.14257,1
22.7,10.0781,7.19918,1
22.8,40.8915,33.5535,0
22.9,40.4282,32.686,0
23,40.544,32.1944,0
23.1,40.4282,31.911,0
23.2,40.544,31.8871,0
23.3,40.4282,31.8337,0
23.4,40.544,32.0581,0
23.5,40.4282,31.7974,0
23.6,40.544,31.1804,0
23.7,40.544,32.0847,0
23.8,40.4282,31.4935,0
23.9,40.544,32.5427,0
24,40.4282,31.961,0
24.1,40.544,31.3793,0
24.2,40.4282,31.3793,0
24.3,40.544,30.6471,0
24.4,40.4282,30.6471,0
24.5,40.544,30.6471,0
24.6,40.4282,30.6471,0
24.7,40.544,30.6471,0
24.8,40.4282,30.6471,0
24.9,40.544,30.6471,0
25,40.4282,30.6471,0
25.1,40.544,30.6471,0
