Time,Cwnd
7.0881,143352
7.08811,141904
7.08813,140763
7.08898,139008
7.08899,137560
7.089,136112
7.08973,134664
7.08974,133216
7.08975,131768
7.0906,130320
7.09061,128872
7.1121,130320
7.14985,131768
7.1911,133216
7.23223,134664
7.27348,136112
7.31586,137560
7.36048,139008
7.40398,140456
7.44973,141904
7.4956,143352
7.54348,144800
7.5916,146248
7.64198,147696
7.69235,149144
7.74498,150592
7.79873,152040
7.8536,153488
7.90974,154936
7.96923,156384
8.02873,157832
8.09173,159280
8.15698,160728
8.22335,162176
8.2931,163624
8.36635,165072
8.44185,166520
8.52198,167968
8.6056,169416
8.69473,170864
8.76798,172312
8.8321,173760
8.89623,175208
8.96024,176656
9.02561,178104
9.09185,179552
9.15823,181000
9.22461,182448
9.29211,183896
9.3605,183039
9.36135,183630
9.36136,184221
9.36138,184812
9.36223,185402
9.36224,185993
9.36225,186584
9.3631,187175
9.36311,187766
9.36313,188356
9.36398,188947
9.36399,186792
9.364,185344
9.36498,183896
9.36499,182448
9.365,181000
9.36573,179552
9.36574,178104
9.36575,176656
9.36648,175208
9.36649,173760
9.3665,172312
9.36735,172307
9.36736,169416
9.36738,167968
9.36823,166520
9.36824,165072
9.36825,163624
9.3691,162176
9.36911,160728
9.36913,159280
9.36998,157832
9.36999,156384
9.37,155077
9.37085,153488
9.37086,152040
9.37088,150592
9.37173,149144
9.37174,147696
9.37175,146248
9.3726,144800
9.37261,143352
9.37263,141904
9.37335,140456
9.37336,139008
9.37338,138437
9.37423,136112
9.37424,134664
9.37425,133216
9.3751,131768
9.37511,130320
9.37513,128872
9.37598,127424
9.39663,128872
9.43435,130320
9.5041,131768
9.55224,133216
9.60149,134664
9.65173,136112
9.7021,137560
9.75249,139008
9.80399,140456
9.8566,141904
9.90811,143352
9.96185,144800
10.0145,146248
10.0695,147696
10.1232,149144
10.1794,150592
10.2342,152040
10.2904,153488
10.3482,154936
10.4047,156384
10.462,157832
10.5204,159280
10.5792,160728
10.6389,162176
10.6995,163624
10.7601,165072
10.8207,166520
10.8826,167968
10.9444,169416
11.0072,170864
11.0702,172312
11.1344,173760
11.1984,175208
11.2625,176656
11.3277,178104
11.3941,179552
11.4605,181000
11.5269,182448
11.5944,183896
11.663,185344
11.7317,186792
11.7382,185949
11.7382,186553
11.7383,187157
11.7391,187762
11.7391,188366
11.7391,188970
11.74,189574
11.74,190179
11.74,190783
11.7409,191387
11.7409,191992
11.7409,189688
11.7417,188240
11.7417,186792
11.7418,185344
11.7426,183896
11.7426,182448
11.7426,181000
11.7434,179552
11.7434,178104
11.7434,176656
11.7442,175283
11.7442,173760
11.7443,172312
11.7451,170864
11.7451,169416
11.7451,167968
11.746,166520
11.746,165072
11.746,163624
11.7469,162176
11.7469,160728
11.7469,159280
11.7477,159179
11.7477,156384
11.7478,154936
11.7486,153488
11.7486,152040
11.7486,150592
11.7495,149144
11.7495,147696
11.7495,146248
11.7502,144800
11.7502,143352
11.7503,142471
11.7511,140456
11.7511,139008
11.7511,137560
11.752,136112
11.752,134664
11.752,133216
11.7529,131768
11.7529,130320
11.7744,131768
11.8121,133216
11.8527,134664
11.8945,136112
11.9357,137560
11.9791,139008
12.0226,140456
12.0661,141904
12.1119,143352
12.1589,144800
12.2052,146248
12.2539,147696
12.3036,149144
12.3545,150592
12.4066,152040
12.4604,153488
12.5154,154936
12.5725,156384
12.6309,157832
12.6915,159280
12.7545,160728
12.8186,162176
12.8861,163624
12.9559,165072
13.028,166520
13.1046,167968
13.1847,169416
13.2684,170864
13.3576,172312
13.4485,173760
13.5126,175208
13.5779,176656
13.6431,178104
13.7084,179552
13.7747,181000
13.8422,182448
13.9097,183896
13.9772,185344
14.0459,186792
14.1131,185949
14.1131,186553
14.1131,187157
14.114,187762
14.114,188366
14.114,188970
14.115,189574
14.115,190179
14.115,190783
14.1157,191387
14.1157,191992
14.1158,189688
14.1166,188240
14.1166,186792
14.1166,185344
14.1175,183896
14.1175,182448
14.1175,181000
14.1182,179552
14.1182,178104
14.1183,176656
14.1191,175283
14.1191,173760
14.1191,172312
14.12,170864
14.12,169416
14.12,167968
14.1209,166520
14.1209,165072
14.1209,163624
14.1217,162176
14.1217,160728
14.1218,159280
14.1226,159179
14.1226,156384
14.1226,154936
14.1235,153488
14.1235,152040
14.1235,150592
14.1244,149144
14.1244,147696
14.1244,146248
14.1251,144800
14.1251,143352
14.1251,142471
14.126,140456
14.126,139008
14.126,137560
14.1269,136112
14.1269,134664
14.1269,133216
14.1277,131768
14.1277,130320
14.1493,131768
14.187,133216
14.2281,134664
14.2694,136112
14.3106,137560
14.354,139008
14.3975,140456
14.441,141904
14.4867,143352
14.5337,144800
14.5806,146248
14.6287,147696
14.679,149144
14.7294,150592
14.782,152040
14.8359,153488
14.8907,154936
14.948,156384
15.0064,157832
15.0659,159280
15.1287,160728
15.194,162176
15.2604,163624
15.3302,165072
15.4035,166520
15.479,167968
15.5591,169416
15.6426,170864
15.7319,172312
15.8234,173760
15.8875,175208
15.9527,176656
16.018,178104
16.0832,179552
16.1496,181000
16.2171,182448
16.2846,183896
16.3521,185344
16.3827,184494
16.3827,185092
16.3828,185689
16.3836,186287
16.3836,186884
16.3836,187482
16.3845,188080
16.3845,188677
16.3845,189275
16.3854,189872
16.3854,190470
16.3854,188240
16.3861,186792
16.3861,185344
16.3861,183896
16.387,182448
16.387,181000
16.387,179552
16.3879,178104
16.3879,176656
16.3879,175208
16.3887,173760
16.3887,174100
16.3888,172312
16.3896,170864
16.3896,169416
16.3896,167968
16.3905,166520
16.3905,165072
16.3905,163624
16.3914,162176
16.3914,160728
16.3914,159280
16.3922,157832
16.3922,156384
16.3923,154936
16.393,153488
16.393,152040
16.393,150592
16.3939,149144
16.3939,147696
16.3939,146248
16.3947,144800
16.3947,143352
16.3948,141904
16.3956,140763
16.3956,139008
16.3956,137560
16.3965,136112
16.3965,134664
16.3965,133216
16.3974,131768
16.3974,130320
16.3974,128872
