% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
9.12412	1	0	0	1	912	4	3	1	4	14	1	0	28	1997
9.12438	1	0	0	1	912	4	5	1	4	13	1	0	28	1997
9.12475	1	0	0	1	912	5	0	1	4	15	1	0	28	1997
9.125	1	0	0	1	912	5	2	1	4	14	1	0	28	1997
9.12525	1	0	0	1	912	5	4	1	4	13	1	0	28	1997
9.1255	1	0	0	1	912	5	6	1	4	15	1	0	28	1997
9.12588	1	0	0	1	912	6	1	1	4	14	1	0	28	1997
9.12613	1	0	0	1	912	6	3	1	4	15	1	0	28	1997
9.12637	1	0	0	1	912	6	5	1	4	13	1	0	28	1997
9.12675	1	0	0	1	912	7	0	1	4	15	1	0	28	1997
9.127	1	0	0	1	912	7	2	1	4	14	1	0	28	1997
9.12725	1	0	0	1	912	7	4	1	4	13	1	0	28	1997
9.1275	1	0	0	1	912	7	6	1	4	15	1	0	28	1997
9.12787	1	0	0	1	912	8	1	1	4	14	1	0	28	1997
9.12813	1	0	0	1	912	8	3	1	4	15	1	0	28	1997
9.12838	1	0	0	1	912	8	5	1	4	13	1	0	28	1997
9.12875	1	0	0	1	912	9	0	1	4	15	1	0	28	1997
9.129	1	0	0	1	912	9	2	1	4	14	1	0	28	1997
9.12925	1	0	0	1	912	9	4	1	4	13	1	0	28	1997
9.1295	1	0	0	1	912	9	6	1	4	15	1	0	28	1997
9.12988	1	0	0	1	913	0	1	1	4	14	1	0	28	1997
9.13012	1	0	0	1	913	0	3	1	4	15	1	0	28	1997
9.13038	1	0	0	1	913	0	5	1	4	13	1	0	28	1997
9.13075	1	0	0	1	913	1	0	1	4	15	1	0	28	1997
9.131	1	0	0	1	913	1	2	1	4	14	1	0	28	1997
9.13125	1	0	0	1	913	1	4	1	4	13	1	0	28	1997
9.1315	1	0	0	1	913	1	6	1	4	15	1	0	28	1997
9.13188	1	0	0	1	913	2	1	1	4	14	1	0	28	1997
9.13213	1	0	0	1	913	2	3	1	4	15	1	0	28	1997
9.13237	1	0	0	1	913	2	5	1	4	13	1	0	28	1997
9.13275	1	0	0	1	913	3	0	1	4	15	1	0	28	1997
9.133	1	0	0	1	913	3	2	1	4	14	1	0	28	1997
9.13325	1	0	0	1	913	3	4	1	4	13	1	0	28	1997
9.1335	1	0	0	1	913	3	6	1	4	15	1	0	28	1997
9.13387	1	0	0	1	913	4	1	1	4	14	1	0	28	1997
9.13412	1	0	0	1	913	4	3	1	4	15	1	0	28	1997
9.13438	1	0	0	1	913	4	5	1	4	13	1	0	28	1997
9.13475	1	0	0	1	913	5	0	1	4	14	1	0	28	1997
9.135	1	0	0	1	913	5	2	1	4	15	1	0	28	1997
9.13525	1	0	0	1	913	5	4	1	4	13	1	0	28	1997
9.1355	1	0	0	1	913	5	6	1	4	14	1	0	28	1997
9.13588	1	0	0	1	913	6	1	1	4	15	1	0	28	1997
9.13612	1	0	0	1	913	6	3	1	4	14	1	0	28	1997
9.13637	1	0	0	1	913	6	5	1	4	13	1	0	28	1997
9.13675	1	0	0	1	913	7	0	1	4	15	1	0	28	1997
9.137	1	0	0	1	913	7	2	1	4	14	1	0	28	1997
9.13725	1	0	0	1	913	7	4	1	4	13	1	0	28	1997
9.13762	1	0	0	1	913	7	7	1	4	15	1	0	28	1997
9.13787	1	0	0	1	913	8	1	1	4	14	1	0	28	1997
9.13813	1	0	0	1	913	8	3	1	4	13	1	0	28	1997
9.13837	1	0	0	1	913	8	5	1	4	15	1	0	28	1997
9.13875	1	0	0	1	913	9	0	1	4	14	1	0	28	1997
9.139	1	0	0	1	913	9	2	1	4	15	1	0	28	1997
9.13925	1	0	0	1	913	9	4	1	4	13	1	0	28	1997
9.13963	1	0	0	1	913	9	7	1	4	15	1	0	28	1997
