Time	CellId	RNTI	BWPId	SINR(dB)
3.00043	1	1	0	25.3402
3.00239	1	1	0	25.5489
3.00279	1	1	0	25.5756
3.00304	1	1	0	25.5395
3.00329	1	1	0	25.5389
3.00367	1	1	0	25.5706
3.00392	1	1	0	25.5457
3.00417	1	1	0	25.537
3.00442	1	1	0	25.5067
3.00479	1	1	0	25.43
3.00504	1	1	0	25.4329
3.00529	1	1	0	25.4009
3.00567	1	1	0	25.2652
3.00592	1	1	0	25.1898
3.00604	1	1	0	25.1801
3.00617	1	1	0	25.1832
3.00642	1	1	0	25.1891
3.00679	1	1	0	25.1182
3.00704	1	1	0	25.0524
3.00729	1	1	0	25.0165
3.00767	1	1	0	24.995
3.00792	1	1	0	25.0053
3.00804	1	1	0	24.9894
3.00817	1	1	0	24.9753
3.00842	1	1	0	25.0063
3.00879	1	1	0	24.9383
3.00904	1	1	0	24.9228
3.00929	1	1	0	24.9427
3.00967	1	1	0	24.8937
3.00992	1	1	0	24.8917
3.01017	1	1	0	24.9187
3.01054	1	1	0	24.9315
3.01079	1	1	0	24.9172
3.01104	1	1	0	24.9003
3.01129	1	1	0	24.9277
3.01167	1	1	0	24.9334
3.01192	1	1	0	24.9938
3.01217	1	1	0	25.0555
3.01229	1	1	0	25.0754
3.01254	1	1	0	25.1176
3.01267	1	1	0	25.1721
3.01279	1	1	0	25.1735
3.01292	1	1	0	25.2008
3.01304	1	1	0	25.1834
3.01329	1	1	0	25.2156
3.01367	1	1	0	25.2548
3.01392	1	1	0	25.341
3.01417	1	1	0	25.389
3.01454	1	1	0	25.4127
3.01479	1	1	0	25.4023
3.01504	1	1	0	25.4632
3.01529	1	1	0	25.4902
3.01567	1	1	0	25.5237
3.01592	1	1	0	25.5331
3.01617	1	1	0	25.5866
3.01654	1	1	0	25.5041
3.01679	1	1	0	25.5078
3.01704	1	1	0	25.5067
3.01729	1	1	0	25.4882
3.01767	1	1	0	25.4442
3.01792	1	1	0	25.4529
3.01804	1	1	0	25.4587
3.01817	1	1	0	25.4347
3.01854	1	1	0	25.4019
3.01879	1	1	0	25.3765
3.01904	1	1	0	25.3792
3.01929	1	1	0	25.3106
3.01967	1	1	0	25.2105
3.01992	1	1	0	25.1952
3.02017	1	1	0	25.1664
3.02054	1	1	0	25.1322
3.02079	1	1	0	25.1438
3.02104	1	1	0	25.1515
3.02129	1	1	0	25.1163
3.02167	1	1	0	25.1038
3.02192	1	1	0	25.1157
3.02217	1	1	0	25.0836
3.02254	1	1	0	25.1029
3.02279	1	1	0	25.1256
3.02304	1	1	0	25.0841
3.02329	1	1	0	25.0852
3.02367	1	1	0	25.0687
3.02392	1	1	0	25.0606
3.02417	1	1	0	25.1174
3.02454	1	1	0	25.1856
3.02479	1	1	0	25.1666
3.02504	1	1	0	25.1541
3.02542	1	1	0	25.2144
3.02567	1	1	0	25.2119
3.02592	1	1	0	25.2527
3.02617	1	1	0	25.3352
3.02654	1	1	0	25.372
3.02679	1	1	0	25.3676
3.02704	1	1	0	25.4236
3.02742	1	1	0	25.4516
3.02767	1	1	0	25.4697
3.02792	1	1	0	25.4893
3.02817	1	1	0	25.5281
3.02854	1	1	0	25.5952
3.02879	1	1	0	25.614
3.02904	1	1	0	25.6443
3.02942	1	1	0	25.6501
3.02967	1	1	0	25.6338
3.02992	1	1	0	25.5711
3.03017	1	1	0	25.5763
3.03054	1	1	0	25.5446
3.03079	1	1	0	25.5165
3.03104	1	1	0	25.5288
3.03142	1	1	0	25.4873
3.03167	1	1	0	25.4903
3.03192	1	1	0	25.4203
3.03217	1	1	0	25.393
3.03254	1	1	0	25.3669
3.03279	1	1	0	25.3199
3.03304	1	1	0	25.2722
3.03342	1	1	0	25.1763
3.03367	1	1	0	25.1368
3.03392	1	1	0	25.0867
3.03417	1	1	0	25.0591
3.03454	1	1	0	25.0477
3.03479	1	1	0	25.0314
3.03492	1	1	0	25.0239
3.03504	1	1	0	25.0036
3.03542	1	1	0	24.9968
3.03567	1	1	0	24.9748
3.03592	1	1	0	24.9687
3.03617	1	1	0	24.9847
3.03654	1	1	0	24.9589
3.03679	1	1	0	24.9607
3.03704	1	1	0	24.984
3.03742	1	1	0	24.9919
3.03767	1	1	0	24.9994
3.03792	1	1	0	25.0682
3.03829	1	1	0	25.1519
3.03854	1	1	0	25.2277
3.03879	1	1	0	25.2808
3.03904	1	1	0	25.2848
3.03942	1	1	0	25.3121
3.03967	1	1	0	25.4177
3.03992	1	1	0	25.4563
3.04029	1	1	0	25.4977
3.04054	1	1	0	25.5321
3.04079	1	1	0	25.5659
