% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.02475	1	0	0	1	302	5	0	1	4	13	1	0	28	1997
3.02513	1	0	0	1	302	5	3	1	4	15	1	0	28	1997
3.02537	1	0	0	1	302	5	5	1	4	14	1	0	28	1997
3.02562	1	0	0	1	302	5	7	1	4	13	1	0	28	1997
3.02588	1	0	0	1	302	6	1	1	4	15	1	0	28	1997
3.02625	1	0	0	1	302	6	4	1	4	14	1	0	28	1997
3.0265	1	0	0	1	302	6	6	1	4	15	1	0	28	1997
3.02675	1	0	0	1	302	7	0	1	4	13	1	0	28	1997
3.02712	1	0	0	1	302	7	3	1	4	15	1	0	28	1997
3.02738	1	0	0	1	302	7	5	1	4	14	1	0	28	1997
3.02763	1	0	0	1	302	7	7	1	4	13	1	0	28	1997
3.02787	1	0	0	1	302	8	1	1	4	15	1	0	28	1997
3.02825	1	0	0	1	302	8	4	1	4	14	1	0	28	1997
3.0285	1	0	0	1	302	8	6	1	4	15	1	0	28	1997
3.02875	1	0	0	1	302	9	0	1	4	13	1	0	28	1997
3.02913	1	0	0	1	302	9	3	1	4	15	1	0	28	1997
3.02937	1	0	0	1	302	9	5	1	4	14	1	0	28	1997
3.02962	1	0	0	1	302	9	7	1	4	13	1	0	28	1997
3.02988	1	0	0	1	303	0	1	1	4	15	1	0	28	1997
3.03025	1	0	0	1	303	0	4	1	4	14	1	0	28	1997
3.0305	1	0	0	1	303	0	6	1	4	15	1	0	28	1997
3.03075	1	0	0	1	303	1	0	1	4	13	1	0	28	1997
3.03112	1	0	0	1	303	1	3	1	4	15	1	0	28	1997
3.03138	1	0	0	1	303	1	5	1	4	14	1	0	28	1997
3.03163	1	0	0	1	303	1	7	1	4	13	1	0	28	1997
3.03187	1	0	0	1	303	2	1	1	4	15	1	0	28	1997
3.03225	1	0	0	1	303	2	4	1	4	14	1	0	28	1997
3.0325	1	0	0	1	303	2	6	1	4	15	1	0	28	1997
3.03275	1	0	0	1	303	3	0	1	4	13	1	0	28	1997
3.03313	1	0	0	1	303	3	3	1	4	15	1	0	28	1997
3.03337	1	0	0	1	303	3	5	1	4	14	1	0	28	1997
3.03362	1	0	0	1	303	3	7	1	4	13	1	0	28	1997
3.03388	1	0	0	1	303	4	1	1	4	15	1	0	28	1997
3.03425	1	0	0	1	303	4	4	1	4	14	1	0	28	1997
3.03463	1	0	0	1	303	4	7	1	4	13	1	0	28	1997
3.03475	1	0	0	1	303	5	0	1	4	12	1	0	28	1997
3.03512	1	0	0	1	303	5	3	1	4	15	1	0	28	1997
